start,end,duration_seconds,duration_minutes,app,device_id
2026-04-08T12:33:10.388630+02:00,2026-04-08T12:36:16.444927+02:00,186,3.1,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:40:04.977985+02:00,2026-04-08T12:40:11.220174+02:00,6,0.1,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:40:11.220174+02:00,2026-04-08T12:40:12.322501+02:00,1,0.02,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:40:12.322501+02:00,2026-04-08T12:40:18.360565+02:00,6,0.1,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:40:18.360565+02:00,2026-04-08T12:40:19.455427+02:00,1,0.02,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:40:19.455427+02:00,2026-04-08T12:43:14.176126+02:00,174,2.9,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:43:14.176126+02:00,2026-04-08T12:43:18.347170+02:00,4,0.07,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:43:18.347170+02:00,2026-04-08T12:44:58.866165+02:00,100,1.67,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:44:58.866165+02:00,2026-04-08T12:45:02.564002+02:00,3,0.05,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:45:04.568626+02:00,2026-04-08T12:45:08.279976+02:00,3,0.05,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:45:09.116441+02:00,2026-04-08T12:46:09.623713+02:00,60,1.0,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:47:51.219386+02:00,2026-04-08T13:17:23.348193+02:00,1772,29.53,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:17:30.950428+02:00,2026-04-08T13:17:33.839273+02:00,2,0.03,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:24:04.481252+02:00,2026-04-08T13:24:46.560016+02:00,42,0.7,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:34:39.901956+02:00,2026-04-08T13:40:44.382110+02:00,364,6.07,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:40:44.400077+02:00,2026-04-08T13:42:05.744196+02:00,81,1.35,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:42:07.425808+02:00,2026-04-08T13:42:25.826806+02:00,18,0.3,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:42:25.851192+02:00,2026-04-08T13:42:35.633139+02:00,9,0.15,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:42:35.633139+02:00,2026-04-08T13:42:56.370394+02:00,20,0.33,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:42:56.391082+02:00,2026-04-08T13:43:08.777695+02:00,12,0.2,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:43:09.917620+02:00,2026-04-08T13:45:19.802833+02:00,129,2.15,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:45:19.818849+02:00,2026-04-08T13:45:39.027061+02:00,19,0.32,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:45:39.045491+02:00,2026-04-08T13:45:47.683468+02:00,8,0.13,com.apple.mobilenotes,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:45:47.695645+02:00,2026-04-08T13:45:53.393182+02:00,5,0.08,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T13:45:53.470977+02:00,2026-04-08T14:05:37.000743+02:00,1183,19.72,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T14:11:21.390401+02:00,2026-04-08T14:11:40.604290+02:00,19,0.32,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
